route_id,from_city,to_city,from_state,to_state,distance_km,duration_hours,base_fare,operator,departure_times,running_days,route_type
MH001,Mumbai,Pune,Maharashtra,Maharashtra,150,3.0,280,MSRTC,"05:00,06:30,08:00,09:30,11:00,12:30,14:00,15:30,17:00,18:30,20:00,21:30,23:00",1111111,intrastate
MH002,Mumbai,Nashik,Maharashtra,Maharashtra,180,3.5,320,MSRTC,"05:30,07:00,08:30,10:00,11:30,13:00,14:30,16:00,17:30,19:00,20:30,22:00",1111111,intrastate
MH003,Mumbai,Kolhapur,Maharashtra,Maharashtra,380,6.5,680,MSRTC,"06:00,09:00,12:00,15:00,18:00,21:00",1111111,intrastate
MH004,Mumbai,Aurangabad,Maharashtra,Maharashtra,350,6.0,620,MSRTC,"05:45,08:45,11:45,14:45,17:45,20:45",1111111,intrastate
MH005,Mumbai,Nagpur,Maharashtra,Maharashtra,850,14.0,1450,MSRTC,"05:00,11:00,17:00,23:00",1111111,intrastate
MH006,Pune,Nashik,Maharashtra,Maharashtra,210,4.0,380,MSRTC,"06:15,08:15,10:15,12:15,14:15,16:15,18:15,20:15,22:15",1111111,intrastate
MH007,Pune,Kolhapur,Maharashtra,Maharashtra,230,4.5,420,MSRTC,"05:30,07:30,09:30,11:30,13:30,15:30,17:30,19:30,21:30",1111111,intrastate
MH008,Pune,Aurangabad,Maharashtra,Maharashtra,200,3.5,360,MSRTC,"06:00,08:00,10:00,12:00,14:00,16:00,18:00,20:00,22:00",1111111,intrastate
MH009,Nashik,Aurangabad,Maharashtra,Maharashtra,190,3.5,340,MSRTC,"05:45,07:45,09:45,11:45,13:45,15:45,17:45,19:45,21:45",1111111,intrastate
MH010,Kolhapur,Sangli,Maharashtra,Maharashtra,50,1.0,90,MSRTC,"05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00",1111111,intrastate

